id,a,b,c,d,e,f,g,2023_pvp
04006,0,16,1,0,0,0,0,0
123_Kohaku,25,20,1,1,1,1,0,28
Aaaaapfelmus,0,16,0,1,1,1,0,0
ABraHam_Sid_,25,16,0,1,0,0,0,113
Akitsuki4852,25,16,1,1,1,0,1,28
Alira_,0,16,0,1,1,1,0,0
AlphaLorat,0,16,0,1,0,1,0,0
Alrecue,0,0,0,0,0,0,0,33
amethyst_devil,0,16,0,0,0,0,0,0
Ankou54,0,0,0,0,0,0,0,33
ApertureG,0,16,1,1,0,0,0,0
Aqua_CX,0,16,0,1,1,0,0,33
Aqua_kuma,0,16,0,0,0,0,0,0
Aqua_Lyy,25,20,0,1,0,0,0,115
Aqua_Milk,0,16,0,1,0,0,0,0
Aqua_Rem,25,20,0,1,1,0,0,35
Aqua_Ruler,0,16,0,0,0,0,0,35
Aqua_Ruri,25,16,0,1,1,0,0,0
Aquaours,0,16,0,0,0,0,0,0
Asakura_kukii,0,16,1,1,1,0,0,113
ayanami7,0,0,0,0,0,0,0,28
Azur_Akashi,25,20,0,0,0,0,0,0
Azur_AnShan,0,16,0,1,1,1,0,0
Azur_Bismarck,0,16,1,1,1,1,0,0
Azur_BlackPrince,0,16,0,0,0,0,0,0
Bai_Tian,0,16,0,0,0,0,0,28
Baink,10,0,0,0,0,0,0,0
Bersella_AI,0,0,0,0,0,0,0,28
Bi_Yuntian,10,16,0,1,1,0,0,0
Big_WhiteDragon,25,20,1,1,1,0,0,35
bilser,0,0,0,0,0,0,0,113
BlackMouseYH,25,16,1,0,0,0,0,0
BlackSmithly,15,16,1,0,0,0,0,0
BlingWang,0,16,0,0,0,0,0,0
BluesEcho,0,16,0,0,0,0,0,0
BroadHen6241389,25,16,1,1,1,1,0,33
cb3a,25,16,1,0,0,1,0,0
chiefs11523,0,0,0,0,0,0,0,33
ChuXuan_windy,0,16,0,1,0,0,0,28
CierraRunis_,25,24,1,1,0,0,0,0
Ciodide,25,16,0,1,0,0,1,0
CitingNutria,0,0,0,0,0,0,0,33
Cocoabeans_,0,16,1,1,0,0,0,0
Csq_bst,25,16,1,1,1,0,1,0
cui_cui_sha,0,24,1,1,1,0,1,28
Currypa,25,16,1,0,0,0,0,0
Dainty_Twilight,15,0,0,0,0,0,0,0
Dani233,10,0,0,0,0,0,0,0
Dao_Mouse,0,16,0,0,0,0,0,0
debi_debiru,20,16,1,0,0,0,0,0
Dominator_kital,0,0,0,0,0,0,0,28
dsatax,0,16,0,1,0,0,0,0
Eillenc,25,20,1,1,1,0,0,0
Entor_DAZE,25,16,0,1,1,0,0,0
Epicmose64,25,16,0,0,0,0,0,33
Evan_76,0,16,1,0,0,0,0,0
Fan_Wei,10,16,1,0,0,0,0,0
Fantala,0,16,0,1,0,0,0,0
FERVENTHERRT233,0,0,0,0,0,0,0,28
FLYLX,0,0,0,0,0,0,0,28
FollowerZz,25,16,1,0,0,0,0,0
foraphe,0,0,0,0,0,0,0,35
Ghost_wh1026,10,16,0,1,1,0,0,28
Guasyd,25,0,0,0,0,1,0,0
Gyiplier,10,16,1,1,1,1,0,0
Harunya,0,16,0,1,0,0,0,0
Herry001,0,0,0,0,0,0,0,28
HgO,0,16,1,0,0,0,0,0
hongling,0,16,1,1,0,0,0,33
HyperSQ_,0,16,1,0,0,0,0,0
Ibmys,0,16,0,0,0,0,0,0
Ice_maplc,25,16,1,1,1,0,1,33
Infarn,15,16,1,0,0,0,0,35
Izumi_gd,25,20,1,1,1,0,1,33
IzumiQuan,0,0,0,0,0,0,0,28
Jack77793,0,0,0,0,0,0,0,28
JackWorks,25,16,1,1,0,0,0,33
John_sun,0,20,1,1,0,0,0,28
KagurazakaHinagi,25,0,0,0,0,1,0,0
KagurazakaKano,25,16,0,0,0,0,0,0
Kemomimi_Fox,25,16,1,0,0,0,0,28
Kengdie3,0,0,0,0,0,0,0,80
Kinomotomoyo,25,16,1,1,1,0,1,0
KMS_Mainz,25,16,1,0,0,1,0,33
KomeijiIkari,0,16,0,1,1,0,0,0
Komepochi,15,16,1,1,1,0,0,28
kongmulingyun,25,16,0,0,0,0,0,35
KumiAkari,25,16,1,0,0,0,0,0
KuonjiAlice,0,0,0,0,0,0,0,33
Kuyashiiwa_,20,16,0,0,0,1,0,0
Kyomotoi_,15,0,0,0,0,0,0,0
lbpc2333,0,16,0,1,0,0,0,0
lcyrx_lc,20,16,1,1,1,0,1,0
lei__mu,0,0,0,0,0,0,0,28
Lemon_Cloud,25,16,0,1,0,0,0,0
LI_GOU,10,16,1,1,1,0,0,0
LiIci111,25,16,1,1,1,0,1,33
Lingering_Potion,0,16,0,1,1,0,0,0
lkczy,0,16,0,0,0,0,0,0
LovelyShimaKaze,0,0,0,0,0,0,0,28
Lv_da,0,16,1,0,0,0,0,0
Lvmh114,0,0,0,0,0,0,0,33
LYC_dada,0,0,0,0,0,0,0,28
lyhyu__yi,25,16,1,1,1,1,0,0
