???id,????,????*,??????*,???????,?????????
Azur_Akashi,S,100%,(102/102)  100%,2359,348
Big_WhiteDragon,S,100%,(102/102)  100%,3343,695
Ciodide,S,100%,(102/102)  100%,2102,497
gdides,S,100%,(102/102)  100%,3368,632
Kinomotomoyo,S,100%,(102/102)  100%,2683,446
LiIci111,S,100%,(102/102)  100%,2337,648
MomochiKaryl,S,100%,(102/102)  100%,2172,624
NACALOREA,S,100%,(102/102)  100%,3412,741
TMXK2333,S,100%,(102/102)  100%,2558,684
Aqua_Ruri,A++,100%,(52/102)   51%,869,133
123_Kohaku,A++,100%,(51/102)   50%,1251,99
cb3a,A++,100%,(43/102)   42%,818,91
ABraHam_Sid_,A++,100%,(42/102)   41%,974,160
BroadHen6241389,A++,100%,(41/102)   40%,1117,170
SC_HYDD,A+,100%,(40/102)   39%,1032,78
KMS_Mainz,A+,100%,(34/102)   33%,707,51
SKSIAA,A+,100%,(33/102)   32%,1219,56
Trump15,A+,100%,(33/102)   32%,971,65
Csq_bst,A+,100%,(32/102)   31%,711,87
Muriya_Tensei,A+,100%,(32/102)   31%,781,47
nopezombie,A+,100%,(32/102)   31%,585,41
YukiGeZi,A+,100%,(31/102)   30%,654,34
Akitsuki4852,A+,100%,(30/102)   29%,990,73
Lemon_Cloud,A+,100%,(29/102)   28%,623,48
YoyisakiKnd,A+,100%,(29/102)   28%,729,34
Mr_eight8,A+,100%,(28/102)   27%,682,48
SunGela,A+,100%,(28/102)   27%,745,38
Aqua_nano,A+,100%,(27/102)   26%,819,42
Currypa,A+,100%,(26/102)   25%,933,43
Entor_DAZE,A+,100%,(25/102)   25%,805,37
Kongmulingyun,A+,100%,(25/102)   25%,1250,52
CierraRunis_,A+,100%,(24/102)   24%,978,31
Epicmose64,A+,100%,(24/102)   24%,663,29
Kemomimi_Fox,A+,100%,(24/102)   24%,750,34
sby007,A+,100%,(24/102)   24%,828,34
SutsukiNoi,A+,100%,(24/102)   24%,810,29
ycthomas,A+,100%,(24/102)   24%,485,29
KagurazakaKano,A+,100%,(23/102)   23%,618,34
MeaNoArujiSama,A+,100%,(23/102)   23%,546,29
qingkuang33,A+,100%,(23/102)   23%,577,32
Rimo,A+,100%,(23/102)   23%,824,37
Thehuantian,A+,100%,(23/102)   23%,838,29
XYHoshiYo,A+,100%,(23/102)   23%,577,27
Guasyd,A+,100%,(22/102)   22%,700,30
FollowerZz,A+,100%,(21/102)   21%,599,31
Tsugusuzumi_Nyaa,A+,100%,(21/102)   21%,790,30
yuyuanximilu,A+,100%,(21/102)   21%,690,28
zheng_sam,A+,100%,(21/102)   21%,644,29
Aqua_Lyy,A+,100%,(20/102)   20%,714,34
KagurazakaHinagi,A+,100%,(20/102)   20%,591,28
lyhyu__yi,A+,100%,(20/102)   20%,667,24
MochaAlendia,A+,100%,(20/102)   20%,412,22
ppg777,A+,100%,(20/102)   20%,504,22
vaysama,A+,100%,(20/102)   20%,636,24
wyy_233_,A+,100%,(20/102)   20%,623,28
BlackMouseYH,A+,100%,(19/102)   19%,633,30
JackWorks,A+,100%,(19/102)   19%,529,20
MuAn_Sang,A+,100%,(19/102)   19%,762,28
sddg2333,A+,100%,(19/102)   19%,506,25
Ice_maplc,A+,100%,(17/102)   17%,791,23
phyridiny,A+,100%,(14/102)   14%,482,15
KumiAkari,A+,100%,(12/102)   12%,403,16
Nemo_Petrichor,A+,100%,(11/102)   11%,441,13
Aqua_Rem,B,97%,(18/102)   18%,483,18
simianti,B,94%,(14/102)   14%,308,15
Super_SOKI,B,93%,(9/102)    9%,459,10
Eillenc,B,90%,(14/102)   14%,397,18
NAGISAKI_MINATO,B,90%,(10/102)   10%,250,10
Kuyashiiwa_,C,89%,(9/102)    9%,294,10
todies,C,89%,(10/102)   10%,225,10
lcyrx_lc,C,87%,(11/102)   11%,174,12
MoonLiy_Chhuaa,C,87%,(5/102)    5%,174,5
mapping0,C,87%,(5/102)    5%,165,5
debi_debiru,C,87%,(4/102)    4%,156,4
Stonemason_1,C,85%,(12/102)   12%,198,12
Nyaasu,C,85%,(8/102)    8%,100,8
chency900,D,81%,(14/102)   14%,246,14
ToastBrand,D,80%,(11/102)   11%,239,11
moehikali,D,80%,(14/102)   14%,364,17
Dainty_Twilight,D,80%,(11/102)   11%,392,12
Snownys,D,76%,(20/102)   20%,486,21
Cino_HI,D,76%,(2/102)    2%,101,2
BlackSmithly,D,75%,(13/102)   13%,231,17
Infarn,D,73%,(13/102)   13%,256,14
Kyomotoi_,D,72%,(7/102)    7%,237,8
Gyiplier,E,68%,(8/102)    8%,169,10
Ghost_wh1026,E,67%,(6/102)    6%,221,8
Fan_Wei,E,60%,(5/102)    5%,101,5
LI_GOU,E,59%,(5/102)    5%,167,5
winerchan,E,58%,(4/102)    4%,101,4
Bi_Yuntian,E,56%,(8/102)    8%,106,8
Dani233,E,55%,(4/102)    4%,103,4
Baink,E,52%,(14/102)   14%,212,15
